OA11CD,easting,northing
E00000718,524674.319,186425.754
E00000799,528447.066,191013.97
E00001013,525765.538,187441.362
E00001092,524638.994,189161.202
E00000719,524024.979,186386.11
E00000798,528719.261,191095.006
E00001010,524762.176,189964.516
E00001091,524025.358,186629.698
E00001011,525177.037,189838.012
E00001090,523755.283,186584.464
E00001018,526072.619,189464.102
E00001099,524712.521,188713.64
E00001019,526134.408,189538.004
E00001098,524535.052,188770.06
E00001266,522163.562,192550.427
E00001267,522041.108,192495.565
E00001265,521854.087,192339.312
E00001262,521379.372,192460.469
E00001263,522873.148,192363.622
E00001260,524013.72,191597.397
E00001261,522123.599,192300.985
E00001268,521985.416,192247.691
E00001269,521469.997,192265.382
E00001256,522916.547,191620.519
E00001257,522121.626,191563.956
E00001254,522134.295,195684.573
E00001255,521180.357,192427.463
E00001252,525605.688,195887.903
E00001253,521957.921,195239.43
E00001250,525740.245,196102.819
E00001251,525881.256,195973.583
E00001258,522154.57,191163.798
E00001259,520956.026,192716.36
E00001206,526020.039,196132.202
E00001207,525612.956,196115.032
E00001286,524400.091,191091.157
E00001204,522479.897,189358.344
E00001285,523381.639,191524.395
E00001205,522950.886,189278.391
E00001284,522382.579,191447.447
E00001202,523719.358,189329.545
E00001283,522040.18,191311.234
E00001203,522397.17,189329.687
E00001282,522835.458,191623.856
E00001200,524087.8,189251.856
E00001281,524081.711,191274.846
E00001201,523896.881,189322.604
E00001280,523045.76,191640.785
E00001208,522670.105,195962.788
E00001289,523658.835,191182.523
E00001209,524259.297,197119.959
E00001288,522381.744,191137.243
E00001446,525400.729,191781.956
E00001447,526112.131,192335.145
E00001444,523228.214,195704.254
E00001445,523801.752,195622.928
E00001442,524044.879,195473.833
E00001443,525559.09,195092.452
E00001440,523681.188,195800.635
E00001441,522987.744,195793.731
E00001449,525165.8,191014.882
E00001436,523145.875,195821.831
E00001437,523864.908,195944.017
E00001434,524733.791,195898.26
E00001435,523291.529,195970.869
E00001432,524615.998,195857.92
E00001430,524919.189,195966.719
E00001431,524293.138,196056.681
E00000866,527655.168,196655.565
E00001438,524271.816,195799.951
E00001439,523469.352,195894.924
E00000864,527250.723,196753.076
E00000865,526572.151,196694.902
E00000862,527114.605,194917.244
E00000863,527312.762,194506.258
E00000860,527528.423,195175.216
E00001176,523906.006,188584.215
E00000861,527425.38,194783.948
E00001177,523036.641,188708.24
E00001174,522781.975,188991.544
E00001175,523717.584,188766.62
E00001172,523778.937,188995.152
E00001173,523902.087,188771.98
E00001170,523260.982,189021.174
E00001171,523254.274,188923.543
E00000868,527126.624,196604.722
E00000869,526926.29,196547.009
E00000856,527719.944,195149.549
E00000857,528360.458,195187.973
E00001178,522350.416,190501.871
E00000854,527874.755,195453.676
E00001179,522506.559,190381.196
E00000855,527037.416,195334.46
E00000852,527423.905,195332.702
E00000853,527204.185,195298.962
E00000850,527998.646,195433.776
E00001126,520165.257,193122.667
E00001127,520755.593,193253.785
E00001124,520021.742,193177.791
E00001125,519870.819,193117.406
E00001122,521001.447,193290.435
E00001123,520693.803,193380.295
E00001120,519896.086,193364.886
E00001121,520206.838,193383.823
E00000858,527027.569,195211.449
E00000859,526891.596,195087.023
E00000806,528096.578,192582.264
E00000887,526593.058,190155.813
E00000807,527930.05,192962.813
E00000886,526482.285,190036.866
E00001128,520481.456,192987.31
E00000804,528249.673,190603.906
E00000885,526735.084,190130.697
E00001129,520274.483,193118.187
E00000805,528445.374,190597.573
E00000884,526527.476,190389.989
E00000802,528105.441,190764.793
E00000883,526988.991,190093.384
E00000803,528553.437,190816.168
E00000800,528399.481,190751.525
E00000881,526718.429,190283.743
E00000801,528480.788,190895.576
E00000880,526325.167,190286.951
E00001116,520145.819,191522.984
E00001197,522786.004,189864.468
E00001117,521518.547,193591.849
E00001114,521313.163,191677.737
E00001195,523554.41,189535.832
E00001115,519995.338,191558.181
E00001194,522948.896,189819.202
E00001112,520379.305,191696.764
E00001193,523846.411,189608.903
E00001113,520355.638,191588.504
E00001192,523318.663,189501.668
E00001110,520086.091,191634.139
E00001191,522302.982,189372.514
E00001111,520935.279,191668.701
E00000808,527988.235,193094.579
