startid,endid,routedist
E00176329,E00008897,0.942643
E00008938,E00009195,1.3854179999999998
E00176218,E00009075,0.9050560000000001
E00008938,E00008642,2.049159
E00008615,E00008926,0.827981
E00009168,E00009167,0.828718
E00176218,E00009052,0.939834
E00176227,E00008641,1.485879
E00176231,E00008913,3.0573110000000003
E00176244,E00008895,1.4306780000000001
E00009168,E00009161,0.973595
E00176227,E00009191,1.473268
E00176329,E00008867,0.744487
E00176244,E00176281,0.9484349999999999
E00176218,E00008839,1.0244929999999999
E00176227,E00008913,2.764502
E00176218,E00008704,0.909948
E00008615,E00008634,0.777135
E00176244,E00176282,0.877896
E00009219,E00009163,1.043572
E00009168,E00009184,1.22222
E00176231,E00008922,2.41668
E00009219,E00176286,0.852133
E00008938,E00008918,3.0972210000000002
E00176231,E00009207,1.694937
E00009219,E00009157,1.446681
E00176218,E00008838,0.859582
E00176227,E00008611,1.666529
E00009219,E00008623,0.8788189999999999
E00009168,E00009218,1.260878
E00176244,E00176234,2.364216
E00176231,E00008909,2.664555
E00176329,E00008748,0.8929790000000001
E00176218,E00008725,1.608848
E00008615,E00009223,1.3639949999999998
E00008615,E00008631,1.463983
E00009219,E00008937,1.408177
E00009219,E00009185,1.2627739999999998
E00008615,E00008629,1.2658889999999998
E00009219,E00008642,1.701092
E00009168,E00009213,1.3579970000000001
E00176218,E00176301,0.855804
E00176329,E00176312,1.080114
E00008615,E00008921,0.895694
E00176218,E00176306,1.291843
E00009219,E00176316,1.458052
E00176218,E00176253,1.391446
E00008938,E00009202,1.23876
E00176218,E00008752,1.4298320000000002
E00009219,E00008628,0.86454
E00009219,E00008641,1.55051
E00176218,E00008721,1.420186
E00008615,E00008940,1.246081
E00008892,E00176281,1.078498
E00009168,E00009201,1.488499
E00008892,E00008900,1.654942
