oa11cd,num_500m,num_1km,mindist
E00000848,0,0,1
E00000849,0,0,1
E00000850,0,0,1
E00000851,0,0,1
E00000852,0,0,1
E00000853,0,0,1
E00000854,0,0,1
E00000855,0,0,1
E00000856,0,0,1
E00000857,0,0,1
E00000858,0,0,1
E00000859,0,0,1
E00000860,0,0,1
E00000861,0,0,1
E00000862,0,0,1
E00000863,0,0,1
E00000864,0,0,1
E00000865,0,0,1
E00000866,0,0,1
E00000867,0,0,1
E00000868,0,0,1
E00000869,0,0,1
E00000870,0,0,1
E00000871,0,0,1
E00000872,0,0,1
E00000873,0,0,1
E00000874,0,0,1
E00000875,0,0,1
E00000876,0,0,1
E00000877,0,0,1
E00000878,0,0,1
E00000879,0,0,1
E00000880,0,0,1
E00000881,0,0,1
E00000882,0,0,1
E00000883,0,0,1
E00000884,0,0,1
E00000885,0,0,1
E00000886,0,0,1
E00000887,0,0,1
E00000888,0,0,1
E00000889,0,0,1
E00000890,0,0,1
E00000891,0,0,1
E00000892,0,0,1
E00000893,0,0,1
E00000894,0,0,1
E00000895,0,0,1
E00000896,0,0,1
E00000897,0,0,1
E00000898,0,0,1
E00000899,0,0,1
E00000900,0,0,1
E00000901,0,0,1
E00000902,0,0,1
E00000903,0,0,1
E00000904,0,0,1
E00000905,0,0,1
E00000906,0,0,1
E00000907,0,0,1
E00000908,0,0,1
E00000909,0,0,1
E00000910,0,0,1
E00000911,0,0,1
E00000912,0,0,1
E00000913,0,0,1
E00000914,0,0,1
E00000915,0,0,1
E00000916,0,0,1
E00000917,0,0,1
E00000918,0,0,1
E00000919,0,0,1
E00000920,0,0,1
E00000921,0,0,1
E00000922,0,0,1
E00000923,0,0,1
E00000924,0,0,1
E00000925,0,0,1
E00000926,0,0,1
E00000927,0,0,1
E00000928,0,0,1
E00000929,0,0,1
E00000930,0,0,1
E00000931,0,0,1
E00000932,0,0,1
E00000933,0,0,1
E00000934,0,0,1
E00000935,0,0,1
E00000936,0,0,1
E00000937,0,0,1
E00000938,0,0,1
E00000939,0,0,1
E00000940,0,0,1
E00000941,0,0,1
E00000942,0,0,1
E00000943,0,0,1
E00000944,0,0,1
E00000945,0,0,1
E00000946,0,0,1
E00000947,0,0,1
E00000948,0,0,1
E00000949,0,0,1
