startid,endid,routedist
E00021162,220,0.20431100000000002
E00004212,290,0.136547
E00007784,103,0.16653
E00022178,397,0.134061
E00008731,148,0.112268
E00005054,360,0.129998
E00013432,190,0.210751
E00006873,69,0.187386
E00005707,348,0.7854479999999999
E00019898,319,0.22653
E00015816,364,0.356281
E00006941,94,0.209684
E00020408,318,0.269323
E00016587,131,0.191213
E00020876,276,0.219737
E00004523,303,0.183782
E00022183,398,0.162926
E00008170,35,0.14695
E00023928,18,0.132742
E00015426,375,0.17313
E00022364,400,0.168019
E00008723,78,0.15180000000000002
E00005690,352,0.215606
E00015650,217,0.122886
E00013548,137,0.11762600000000001
E00008287,384,0.27606
E00174829,229,0.150656
E00008879,83,0.122492
E00012750,272,0.132731
E00021149,41,0.12508
E00013341,267,0.112911
E00176243,133,0.612673
E00165807,325,0.132007
E00002548,310,0.158995
E00013958,135,0.185499
E00019968,161,0.124601
E00015382,379,0.119309
E00013426,189,0.172433
E00005694,351,0.11770399999999999
E00012750,52,0.437739
E00019987,323,0.118463
E00008175,35,0.187785
E00013528,140,0.135157
E00008821,90,0.182649
E00015654,217,0.155995
E00013380,260,0.181703
E00176235,149,0.201486
E00021724,236,0.160382
E00006161,48,0.143369
E00176306,79,0.185545
E00023955,301,0.24301699999999998
E00004475,288,0.152701
E00023955,22,0.20986000000000002
E00176328,43,0.153061
E00023955,304,0.240283
E00015171,324,0.15617799999999998
E00175195,11,0.13907499999999998
E00020118,151,0.163115
E00020889,280,0.129668
E00015633,219,0.23550200000000002
E00010673,114,0.118021
E00021725,234,0.22978
E00020139,157,0.126689
E00021708,239,0.146253
E00013509,148,0.15853299999999998
E00174727,306,0.126926
E00015759,215,0.13373
E00011174,396,0.18446100000000001
E00015430,374,0.149983
E00014715,225,0.13542099999999999
E00017901,172,0.18503299999999998
E00019729,331,0.37471499999999996
E00012809,259,0.287691
E00005537,345,0.186764
E00006516,50,0.150877
E00013517,146,0.276523
E00009050,78,0.175719
E00015424,375,0.150018
E00023723,0,0.31691800000000003
E00008877,84,0.18625
E00021732,234,0.128478
E00015822,365,0.181005
E00021782,169,0.12520699999999998
E00022173,397,0.12420099999999999
E00017187,408,0.148447
E00006236,67,0.208657
E00166841,405,0.158913
E00016597,130,0.40847300000000003
E00009892,96,0.260077
E00023715,0,0.292024
E00004705,294,0.169572
E00008821,91,0.196602
E00006499,61,0.186559
E00015520,383,0.370622
E00006891,46,0.23146899999999998
E00022369,403,0.458378
E00168021,318,0.234483
E00021714,240,0.146053
E00166755,251,0.13897800000000002
E00007432,108,0.13264199999999998
E00021730,238,0.147764
E00004529,302,0.130536
E00007787,105,0.203839
E00008821,89,0.12206
E00176224,311,0.175011
E00008877,83,0.157142
E00006237,65,0.252048
E00013959,135,0.170929
E00008724,78,0.148151
E00007854,394,0.120437
E00019735,331,0.259916
E00015419,374,0.282501
E00016408,390,0.23302099999999998
E00004388,284,0.159666
E00009047,82,0.147141
E00013837,143,0.21561000000000002
E00166756,186,0.33287900000000004
E00016815,387,0.174549
E00020859,276,0.126455
E00004868,356,0.12130200000000001
E00021699,240,0.16303800000000002
E00006910,97,0.142327
E00008871,84,0.19009399999999999
E00004210,287,0.179307
E00013577,138,0.17426
E00006898,63,0.156857
E00021787,169,0.152369
E00019731,331,0.214827
E00022369,400,0.167794
E00013514,145,0.183425
E00008173,35,0.20167500000000002
